,WinningNumber,Frequency
0,3,42
1,20,42
2,8,41
3,17,41
4,46,41
5,15,40
6,14,39
7,7,39
8,25,39
9,53,38
10,64,37
11,31,37
12,38,37
13,19,37
14,48,37
15,40,36
16,44,36
19,10,35
20,27,35
17,43,35
18,4,35
21,9,34
22,16,34
23,6,34
24,11,34
25,18,34
26,37,33
27,29,33
28,26,33
29,47,32
30,58,32
31,24,32
32,52,32
37,57,31
36,56,31
35,59,31
34,36,31
33,63,31
38,45,30
39,22,30
40,41,30
41,66,30
42,34,30
43,55,30
44,21,30
45,13,30
46,61,29
47,68,29
48,33,29
49,30,28
50,62,28
54,35,27
53,39,27
52,54,27
51,32,27
55,42,26
56,67,26
57,2,26
58,50,26
59,69,26
60,28,26
63,23,25
64,12,25
61,5,25
62,51,25
65,1,24
66,70,24
67,60,24
68,65,23
69,49,16
